2024-01-11 17:12:46
Post Name : C-BIO_2

Batch Name : 20221003 PHNPhVal

Date;1TE01 - Temperature;1AE02 - Oxygene dissous;1AE03 - pH;1AE05 - Libre 1;1AE06 - Libre 2;1MT01 - Agitation;1PP23 - Pompe 01PP23;1AE01 - Anti-Mousse;1FV50 - Air;1SC01 - Agitation_MV;1SC01 - Agitation_SP;1SC01 - Agitation_OUT;1TC01 - Temperature_MV;1TC01 - Temperature_SP;1TC01 - Temperature_OUT;1AC03 - Oxygene Dissous_MV;1AC03 - Oxygene Dissous_SP;1AC03 - Oxygene Dissous_OUT;1AC04 - pH_MV;1AC04 - pH_SP;1AC04 - pH_OUT;1AC01 - Anti Mousse_MV;1AC01 - Anti Mousse_SP;1AC01 - Anti Mousse_OUT;1PC23 - Pompe 01PP23_MV;1PC23 - Pompe 01PP23_SP;1PC23 - Pompe 01PP23_OUT;1FC50 - Air_MV;1FC50 - Air_SP;1FC50 - Air_OUT;1AC05 - Libre 1_MV;1AC05 - Libre 1_SP;1AC05 - Libre 1_OUT;1AC06 - Libre 2_MV;1AC06 - Libre 2_SP;1AC06 - Libre 2_OUT;1XC01 - Calcul 1_MV;1XC01 - Calcul 1_SP;1XC01 - Calcul 1_OUT;1XC02 - Calcul 2_MV;1XC02 - Calcul 2_SP;1XC02 - Calcul 2_OUT;1XC03 - Calcul 3_MV;1XC03 - Calcul 3_SP;1XC03 - Calcul 3_OUT;1XC04 - Calcul 4_MV;1XC04 - Calcul 4_SP;1XC04 - Calcul 4_OUT;1XC05 - Calcul 5_MV;1XC05 - Calcul 5_SP;1XC05 - Calcul 5_OUT;1XC06 - Calcul 6_MV;1XC06 - Calcul 6_SP;1XC06 - Calcul 6_OUT;COMMENT;
03/10/2022 18:37:23;29,926151;96,108223;6,976139;-0,109512;-109,183167;400;8;0;0,500142;400;400;40;29,926151;30;7,643624;96,108223;30;-100;6,976139;7;0;0;0;0;8;10;0;0,500142;0,5;5;-0,109512;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:37:53;29,929146;96,13488;7,020117;-0,249771;-109,183167;400;8;0;0,49985;400;400;40;29,926151;30;0;96,121559;30;-100;6,994853;7;0;0;0;0;8;10;0;0,499952;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:38:23;29,959091;96,121559;6,978947;-0,109512;-109,183167;400;8;0;0,500323;400;400;40;29,959091;30;0;96,121559;30;-100;6,978947;7;0;0;0;0;8;10;0;0,500323;0,5;5;-0,109512;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:38:53;29,956097;96,121559;7,007016;-0,169617;-109,183167;400;8;0;0,499908;400;400;40;29,956097;30;0;96,121559;30;-100;7,007016;7;0;0;0;0;8;10;0;0,499908;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:39:23;29,995029;96,108223;6,998595;-0,169617;-109,183167;400;8;0;0,500001;400;400;40;29,995029;30;0;96,108223;30;-100;6,998595;7;0;0;0;0;8;10;0;0,500001;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:39:53;29,998028;96,108223;6,981285;-0,169617;-109,183167;400;8;0;0,500025;400;400;40;29,998028;30;0;96,108223;30;-100;6,981285;7;0;0;0;0;8;10;0;0,500025;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:40:23;29,98904;96,821281;6,985028;-0,149597;-109,183167;400;8;0;0,499894;400;400;40;29,98904;30;0;96,821281;30;-100;6,985028;7;0;0;0;0;8;10;0;0,499894;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:40:53;29,995029;96,121559;6,992046;-0,149597;-109,183167;400;8;0;0,500095;400;400;40;29,995029;30;0;96,141548;30;-100;6,988771;7;0;0;0;0;8;10;0;0,500095;0,5;5;-0,149597;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:41:23;30,021984;96,121559;6,992514;-0,209686;-109,183167;400;8;0;0,499741;400;400;40;30,021984;30;0;96,121559;30;-100;6,992514;7;0;0;0;0;8;10;0;0,499741;0,5;5;-0,209686;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
03/10/2022 18:41:53;30,021984;96,108223;7,005612;-0,169617;-109,183167;400;8;0;0,499748;400;400;40;30,021984;30;0;96,108223;30;-100;7,005612;7;0;0;0;0;8;10;0;0,499748;0,5;5;-0,169617;0;0;-109,183167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
